Sample 0: Classification = -1, Firing Count = 0
Sample 1: Classification = -1, Firing Count = 0
Sample 2: Classification = -1, Firing Count = 0
Sample 3: Classification = -1, Firing Count = 0
Sample 4: Classification = -1, Firing Count = 0
Sample 5: Classification = -1, Firing Count = 0
Sample 6: Classification = -1, Firing Count = 0
Sample 7: Classification = -1, Firing Count = 0
Sample 8: Classification = -1, Firing Count = 0
Sample 9: Classification = -1, Firing Count = 0
Sample 10: Classification = -1, Firing Count = 0
Sample 11: Classification = -1, Firing Count = 0
Sample 12: Classification = -1, Firing Count = 0
Sample 13: Classification = -1, Firing Count = 0
Sample 14: Classification = -1, Firing Count = 0
Sample 15: Classification = -1, Firing Count = 0
Sample 16: Classification = -1, Firing Count = 0
Sample 17: Classification = -1, Firing Count = 0
Sample 18: Classification = -1, Firing Count = 0
Sample 19: Classification = -1, Firing Count = 0
Sample 20: Classification = -1, Firing Count = 0
Sample 21: Classification = -1, Firing Count = 0
Sample 22: Classification = -1, Firing Count = 0
Sample 23: Classification = -1, Firing Count = 0
Sample 24: Classification = -1, Firing Count = 0
Sample 25: Classification = -1, Firing Count = 0
Sample 26: Classification = -1, Firing Count = 0
Sample 27: Classification = -1, Firing Count = 0
Sample 28: Classification = -1, Firing Count = 0
Sample 29: Classification = -1, Firing Count = 0
Sample 30: Classification = -1, Firing Count = 0
Sample 31: Classification = -1, Firing Count = 0
Sample 32: Classification = -1, Firing Count = 0
Sample 33: Classification = -1, Firing Count = 0
Sample 34: Classification = -1, Firing Count = 0
Sample 35: Classification = -1, Firing Count = 0
Sample 36: Classification = -1, Firing Count = 0
Sample 37: Classification = -1, Firing Count = 0
Sample 38: Classification = -1, Firing Count = 0
Sample 39: Classification = -1, Firing Count = 0
Sample 40: Classification = -1, Firing Count = 0
Sample 41: Classification = -1, Firing Count = 0
Sample 42: Classification = -1, Firing Count = 0
Sample 43: Classification = -1, Firing Count = 0
Sample 44: Classification = -1, Firing Count = 0
Sample 45: Classification = -1, Firing Count = 0
Sample 46: Classification = -1, Firing Count = 0
Sample 47: Classification = -1, Firing Count = 0
Sample 48: Classification = -1, Firing Count = 0
Sample 49: Classification = -1, Firing Count = 0
Sample 50: Classification = -1, Firing Count = 0
Sample 51: Classification = -1, Firing Count = 0
Sample 52: Classification = -1, Firing Count = 0
Sample 53: Classification = -1, Firing Count = 0
Sample 54: Classification = -1, Firing Count = 0
Sample 55: Classification = -1, Firing Count = 0
Sample 56: Classification = -1, Firing Count = 0
Sample 57: Classification = -1, Firing Count = 0
Sample 58: Classification = -1, Firing Count = 0
Sample 59: Classification = -1, Firing Count = 0
Sample 60: Classification = -1, Firing Count = 0
Sample 61: Classification = -1, Firing Count = 0
Sample 62: Classification = -1, Firing Count = 0
Sample 63: Classification = -1, Firing Count = 0
Sample 64: Classification = -1, Firing Count = 0
Sample 65: Classification = -1, Firing Count = 0
Sample 66: Classification = -1, Firing Count = 0
Sample 67: Classification = -1, Firing Count = 0
Sample 68: Classification = -1, Firing Count = 0
Sample 69: Classification = -1, Firing Count = 0
Sample 70: Classification = -1, Firing Count = 0
Sample 71: Classification = -1, Firing Count = 0
Sample 72: Classification = -1, Firing Count = 0
Sample 73: Classification = -1, Firing Count = 0
Sample 74: Classification = -1, Firing Count = 0
Sample 75: Classification = -1, Firing Count = 0
Sample 76: Classification = -1, Firing Count = 0
Sample 77: Classification = -1, Firing Count = 0
Sample 78: Classification = -1, Firing Count = 0
Sample 79: Classification = -1, Firing Count = 0
Sample 80: Classification = -1, Firing Count = 0
Sample 81: Classification = -1, Firing Count = 0
Sample 82: Classification = -1, Firing Count = 0
Sample 83: Classification = -1, Firing Count = 0
Sample 84: Classification = -1, Firing Count = 0
Sample 85: Classification = -1, Firing Count = 0
Sample 86: Classification = -1, Firing Count = 0
Sample 87: Classification = -1, Firing Count = 0
Sample 88: Classification = -1, Firing Count = 0
Sample 89: Classification = -1, Firing Count = 0
Sample 90: Classification = -1, Firing Count = 0
Sample 91: Classification = -1, Firing Count = 0
Sample 92: Classification = -1, Firing Count = 0
Sample 93: Classification = -1, Firing Count = 0
Sample 94: Classification = -1, Firing Count = 0
Sample 95: Classification = -1, Firing Count = 0
Sample 96: Classification = -1, Firing Count = 0
Sample 97: Classification = -1, Firing Count = 0
Sample 98: Classification = -1, Firing Count = 0
Sample 99: Classification = -1, Firing Count = 0
Sample 100: Classification = -1, Firing Count = 0
Sample 101: Classification = -1, Firing Count = 0
Sample 102: Classification = -1, Firing Count = 0
Sample 103: Classification = -1, Firing Count = 0
Sample 104: Classification = -1, Firing Count = 0
Sample 105: Classification = -1, Firing Count = 0
Sample 106: Classification = -1, Firing Count = 0
Sample 107: Classification = -1, Firing Count = 0
Sample 108: Classification = -1, Firing Count = 0
Sample 109: Classification = -1, Firing Count = 0
Sample 110: Classification = -1, Firing Count = 0
Sample 111: Classification = -1, Firing Count = 0
Sample 112: Classification = -1, Firing Count = 0
Sample 113: Classification = -1, Firing Count = 0
Sample 114: Classification = -1, Firing Count = 0
Sample 115: Classification = -1, Firing Count = 0
Sample 116: Classification = -1, Firing Count = 0
Sample 117: Classification = -1, Firing Count = 0
Sample 118: Classification = -1, Firing Count = 0
Sample 119: Classification = -1, Firing Count = 0
Sample 120: Classification = -1, Firing Count = 0
Sample 121: Classification = -1, Firing Count = 0
Sample 122: Classification = -1, Firing Count = 0
Sample 123: Classification = -1, Firing Count = 0
Sample 124: Classification = -1, Firing Count = 0
Sample 125: Classification = -1, Firing Count = 0
Sample 126: Classification = -1, Firing Count = 0
Sample 127: Classification = -1, Firing Count = 0
Sample 128: Classification = -1, Firing Count = 0
Sample 129: Classification = -1, Firing Count = 0
Sample 130: Classification = -1, Firing Count = 0
Sample 131: Classification = -1, Firing Count = 0
Sample 132: Classification = -1, Firing Count = 0
Sample 133: Classification = -1, Firing Count = 0
Sample 134: Classification = -1, Firing Count = 0
Sample 135: Classification = -1, Firing Count = 0
Sample 136: Classification = -1, Firing Count = 0
Sample 137: Classification = -1, Firing Count = 0
Sample 138: Classification = -1, Firing Count = 0
Sample 139: Classification = -1, Firing Count = 0
Sample 140: Classification = -1, Firing Count = 0
Sample 141: Classification = -1, Firing Count = 0
Sample 142: Classification = -1, Firing Count = 0
Sample 143: Classification = -1, Firing Count = 0
Sample 144: Classification = -1, Firing Count = 0
Sample 145: Classification = -1, Firing Count = 0
Sample 146: Classification = -1, Firing Count = 0
Sample 147: Classification = -1, Firing Count = 0
Sample 148: Classification = -1, Firing Count = 0
Sample 149: Classification = -1, Firing Count = 0
Sample 150: Classification = -1, Firing Count = 0
Sample 151: Classification = -1, Firing Count = 0
Sample 152: Classification = -1, Firing Count = 0
Sample 153: Classification = -1, Firing Count = 0
Sample 154: Classification = -1, Firing Count = 0
Sample 155: Classification = -1, Firing Count = 0
Sample 156: Classification = -1, Firing Count = 0
Sample 157: Classification = -1, Firing Count = 0
Sample 158: Classification = -1, Firing Count = 0
Sample 159: Classification = -1, Firing Count = 0
Sample 160: Classification = -1, Firing Count = 0
Sample 161: Classification = -1, Firing Count = 0
Sample 162: Classification = -1, Firing Count = 0
Sample 163: Classification = -1, Firing Count = 0
Sample 164: Classification = -1, Firing Count = 0
Sample 165: Classification = -1, Firing Count = 0
Sample 166: Classification = -1, Firing Count = 0
Sample 167: Classification = -1, Firing Count = 0
Sample 168: Classification = -1, Firing Count = 0
Sample 169: Classification = -1, Firing Count = 0
Sample 170: Classification = -1, Firing Count = 0
Sample 171: Classification = -1, Firing Count = 0
Sample 172: Classification = -1, Firing Count = 0
Sample 173: Classification = -1, Firing Count = 0
Sample 174: Classification = -1, Firing Count = 0
Sample 175: Classification = -1, Firing Count = 0
Sample 176: Classification = -1, Firing Count = 0
Sample 177: Classification = -1, Firing Count = 0
Sample 178: Classification = -1, Firing Count = 0
Sample 179: Classification = -1, Firing Count = 0
Sample 180: Classification = -1, Firing Count = 0
Sample 181: Classification = -1, Firing Count = 0
Sample 182: Classification = -1, Firing Count = 0
Sample 183: Classification = -1, Firing Count = 0
Sample 184: Classification = -1, Firing Count = 0
Sample 185: Classification = -1, Firing Count = 0
Sample 186: Classification = -1, Firing Count = 0
Sample 187: Classification = -1, Firing Count = 0
Sample 188: Classification = -1, Firing Count = 0
Sample 189: Classification = -1, Firing Count = 0
Sample 190: Classification = -1, Firing Count = 0
Sample 191: Classification = -1, Firing Count = 0
Sample 192: Classification = -1, Firing Count = 0
Sample 193: Classification = -1, Firing Count = 0
Sample 194: Classification = -1, Firing Count = 0
Sample 195: Classification = -1, Firing Count = 0
Sample 196: Classification = -1, Firing Count = 0
Sample 197: Classification = -1, Firing Count = 0
Sample 198: Classification = -1, Firing Count = 0
Sample 199: Classification = -1, Firing Count = 0
